Original Category,Mapped Category
"Electric, Water, Gas and Sewer Services","Electric, Water, Gas and Sewer Services"
Sewer Services,"Electric, Water, Gas and Sewer Services"
Solar Businesses,"Electric, Water, Gas and Sewer Services"
Water Businesses and Stores,"Electric, Water, Gas and Sewer Services"
Water Utilities,"Electric, Water, Gas and Sewer Services"
Environmental Related Businesses,Environmental Related Businesses
Banquet Halls,Event Planning Businesses
Event Planners,Event Planning Businesses
Event Planning Businesses,Event Planning Businesses
Events Businesses,Event Planning Businesses
Wedding Venues,Event Planning Businesses
Banking and Loan Businesses,Finance and Insurance
Check Cashing Businesses,Finance and Insurance
"Check Cashing, Payday Loans, Pawn Shops",Finance and Insurance
"Commercial Banks, Savings Banks",Finance and Insurance
Credit And Finance Companies,Finance and Insurance
Finance Companies,Finance and Insurance
Finance and Insurance,Finance and Insurance
Financial Businesses,Finance and Insurance
Financial Related Businesses,Finance and Insurance
Financial Services Businesses,Accounting
Insurance Agencies,Finance and Insurance
"Insurance Agencies, Brokers",Finance and Insurance
Insurance Related Businesses,Finance and Insurance
Pawn Shops,Finance and Insurance
Pawn Shops,Finance and Insurance
Bait and Tackle Stores,Fishing And Related Businesses
Fishing And Related Businesses,Fishing And Related Businesses
"Fishing, Hunting and Trapping",Fishing And Related Businesses
Breweries,Food and Related Product Manufacturers
Butchers,Food and Related Product Manufacturers
"Butchers, Meat Markets",Food and Related Product Manufacturers
Catering Businesses,Food and Related Product Manufacturers
Catering Companies,Food and Related Product Manufacturers
Catering Services,Food and Related Product Manufacturers
Distilleries,Food and Related Product Manufacturers
Food Manufacturers,Food and Related Product Manufacturers
Food and Related Product Manufacturers,Food and Related Product Manufacturers
Meat Distributors,Food and Related Product Manufacturers
Seafood Distributors,Food and Related Product Manufacturers
Meat Distributors,Food and Related Product Manufacturers
Vineyards and Wineries,Food and Related Product Manufacturers
Wedding Catering Businesses,Food and Related Product Manufacturers
Wineries,Food and Related Product Manufacturers
Beverage Distributors,Food Distributors
Food And Drink Distributors,Food Distributors
Food And Drink Wholesalers,Food Distributors
Food Businesses,Food Distributors
Food Distributors,Food Distributors
Other Food Distributors,Food Distributors
Other Food Distributors,Food Distributors
Seafood Distributors,Food Distributors
Snack Distributors,Food Distributors
Bread Routes,Franchise Resales
Food Resale Franchises,Franchise Resales
Franchise Resales,Franchise Resales
Leisure Resale Franchises,Franchise Resales
Retail Resale Franchises,Franchise Resales
Retail Resale Franchises,Franchise Resales
Service Resale Franchises,Franchise Resales
Golf And Related Businesses,Golf And Related Businesses
Golf Courses and Service Businesses,Golf And Related Businesses
Alternative Health Businesses,Health Care Businesses
Ambulance and EMT Services,Health Care Businesses
Ambulatory Health Care Services,Health Care Businesses
Chiropractic Practices,Health Care Businesses
Chiropractor Businesses,Health Care Businesses
Counseling Services,Health Care Businesses
Dental Laboratories,Health Care Businesses
Dental Practices,Health Care Businesses
"Dental Practices, Clinics",Health Care Businesses
Health And Safety Businesses,Health Care Businesses
Health Care,Health Care Businesses
Health Care Businesses,Health Care Businesses
Health Care and Fitness Businesses,Health Care Businesses
Home Health Care Businesses,Health Care Businesses
Home Health Care Services,Health Care Businesses
Medical Billing Businesses,Health Care Businesses
Medical Practices,Health Care Businesses
"Medical Practices, Clinics, Therapy Centres",Health Care Businesses
Nursing Services,Health Care Businesses
Opticians And Optical Stores,Health Care Businesses
Optometrists,Health Care Businesses
Other Health Care,Health Care Businesses
Physical Therapy Practices,Health Care Businesses
Medical Billing Businesses,Health Care Businesses
Medical Practices,Health Care Businesses
"Medical Practices, Clinics, Therapy Centres",Health Care Businesses
Nursing Services,Health Care Businesses
Opticians And Optical Stores,Health Care Businesses
Optometrists,Health Care Businesses
Other Health Care,Health Care Businesses
Physical Therapy Practices,Health Care Businesses
Social Services,Health Care Businesses
Speech Therapy Practices,Health Care Businesses
Fireplace And Stove Businesses,HVAC
Heating Businesses,HVAC
"Heating, Ventilating, Cooling, Mechanical Contractors",HVAC
Mechanical Services Businesses,"Heating, Ventilating, Cooling, Mechanical Contractors"
Mechanical Services Businesses,"Heating, Ventilating, Cooling, Mechanical Contractors"
Bathroom Related Businesses,Home And Garden Businesses
Carpet And Flooring Businesses,Home And Garden Businesses
Carpet Cleaning Equipment Businesses,Cleaning
Carpet and Flooring Businesses,Home And Garden Businesses
Decorating Businesses,Home And Garden Businesses
Diy Related Businesses,Home And Garden Businesses
Flooring Contractors,Home And Garden Businesses
Flooring Service Businesses,Home And Garden Businesses
Flooring and Tile Stores,Home And Garden Businesses
Garden Centers,Landscaping
Garden Centres,Landscaping
Home And Garden Businesses,Landscaping
House And Garden Businesses,Landscaping
House And Garden Products Manufacturing Businesses,Landscaping
Kitchen And Bedroom Manufacturers,Home And Garden Businesses
Kitchen Related Businesses,Home And Garden Businesses
Nursery and Garden Centers,Landscaping
Nursery and Garden Centers,Landscaping
Upholstery and Carpet Cleaning,Cleaning
Bed and Breakfasts,Hotels
Guest Houses And Bed And Breakfast Businesses,Hotels
Hotels,Hotels
Motels,Hotels
Resort Properties,Hotels
Resorts,Hotels
Motels,Hotels
Resort Properties,Hotels
Resorts,Hotels
Air Conditioning Businesses,HVAC
Computer Stores,Information Technology Businesses
IT and Software Service Businesses,Information Technology Businesses
Information Technology Businesses,Information Technology Businesses
It Businesses,Information Technology Businesses
It Consultancy Businesses,Information Technology Businesses
It Maintenance Businesses,Information Technology Businesses
It Manufacturing Businesses,Information Technology Businesses
It Network Businesses,Information Technology Businesses
It Retail Businesses,Information Technology Businesses
It Software Businesses,Information Technology Businesses
It Telecommunications Businesses,Information Technology Businesses
Other Information Businesses,Information Technology Businesses
SaaS Businesses,Information Technology Businesses
Other Information Businesses,Information Technology Businesses
SaaS Businesses,Information Technology Businesses
Software Companies,Information Technology Businesses
Software and App Companies,Information Technology Businesses
Web Design And Development Businesses,Information Technology Businesses
Web Site Development,Information Technology Businesses
Fencing Businesses,Landscaping
Gardening Businesses,Landscaping
Landscape Gardening Businesses,Landscaping
Landscaping,Landscaping
Landscaping Contractors,Landscaping
"Landscaping, Lawn Care and Tree Services",Landscaping
Commercial Laundry Businesses,Laundromats and Coin Laundry Businesses
Dry Cleaners,Laundromats and Coin Laundry Businesses
"Dry Cleaning, Laundry Services, Laundromats",Laundromats and Coin Laundry Businesses
Laundries,Laundromats and Coin Laundry Businesses
Laundromats and Coin Laundry Businesses,Laundromats and Coin Laundry Businesses
Chemical Businesses,Manufacturing Businesses
Chemical and Related Product Manufacturers,Manufacturing Businesses
Chemicals and Chemical Products,Manufacturing Businesses
Clothing And Footwear Manufacturers,Manufacturing Businesses
Clothing and Fabric Manufacturers,Manufacturing Businesses
"Cutting and Machining, Machine Shops",Manufacturing Businesses
Electrical Appliance Manufacturers,Manufacturing Businesses
"Electrical Equipment, Appliances and Components",Manufacturing Businesses
Electronic and Electrical Equipment Manufacturers,Manufacturing Businesses
Energy Related Businesses,Manufacturing Businesses
Energy and Petroleum Production Businesses,Manufacturing Businesses
Fabrication Businesses,Manufacturing Businesses
Fuel Oil and Propane Dealers,Manufacturing Businesses
Furniture Manufacturers,Manufacturing Businesses
Furniture Manufacturing Businesses,Manufacturing Businesses
Furniture and Fixtures Manufacturers,Manufacturing Businesses
Glass Products Manufacturers,Manufacturing Businesses
Glass Repair,Manufacturing Businesses
"Glass, Stone and Concrete Manufacturers",Manufacturing Businesses
Industrial and Commercial Machinery Manufacturers,Manufacturing Businesses
Lumber and Wood Products Manufacturers,Manufacturing Businesses
Machine Shop,Manufacturing Businesses
Machine Shops and Tool Manufacturers,Manufacturing Businesses
Machinery And Metal Businesses,Manufacturing Businesses
"Machinery, Excluding Computers",Manufacturing Businesses
Manufacturing,Manufacturing Businesses
Manufacturing Businesses,Manufacturing Businesses
Medical Device and Product Manufacturers,Manufacturing Businesses
Medical Products Manufacturing Businesses,Manufacturing Businesses
Metal Fabrication,Manufacturing Businesses
Metal Product Manufacturers,Manufacturing Businesses
Metal Products Manufacturers,Manufacturing Businesses
Oil And Petrochemical Related Businesses,Manufacturing Businesses
Oil and Gas Exploration,Manufacturing Businesses
Other Manufacturing,Manufacturing Businesses
Other Metal Fabrication,Manufacturing Businesses
Packaging Businesses,Manufacturing Businesses
Packaging Distributors,Manufacturing Businesses
Paper Manufacturers and Printing Businesses,Manufacturing Businesses
Paper and Packaging,Manufacturing Businesses
Plastic Fabrication Businesses,Manufacturing Businesses
Plastics and Rubber,Manufacturing Businesses
Powder Coating Businesses,Manufacturing Businesses
Rubber and Plastic Products Manufacturers,Manufacturing Businesses
Sawmills,Manufacturing Businesses
Lumber and Wood Products Manufacturers,Manufacturing Businesses
Machine Shop,Manufacturing Businesses
Machine Shops and Tool Manufacturers,Manufacturing Businesses
Machinery And Metal Businesses,Manufacturing Businesses
"Machinery, Excluding Computers",Manufacturing Businesses
Manufacturing,Manufacturing Businesses
Manufacturing Businesses,Manufacturing Businesses
Medical Device and Product Manufacturers,Manufacturing Businesses
Medical Products Manufacturing Businesses,Manufacturing Businesses
Metal Fabrication,Manufacturing Businesses
Metal Product Manufacturers,Manufacturing Businesses
Metal Products Manufacturers,Manufacturing Businesses
Oil And Petrochemical Related Businesses,Manufacturing Businesses
Oil and Gas Exploration,Manufacturing Businesses
Other Manufacturing,Manufacturing Businesses
Other Metal Fabrication,Manufacturing Businesses
Packaging Businesses,Manufacturing Businesses
Packaging Distributors,Manufacturing Businesses
Paper Manufacturers and Printing Businesses,Manufacturing Businesses
Paper and Packaging,Manufacturing Businesses
Plastic Fabrication Businesses,Manufacturing Businesses
Plastics and Rubber,Manufacturing Businesses
Powder Coating Businesses,Manufacturing Businesses
Rubber and Plastic Products Manufacturers,Manufacturing Businesses
Sawmills,Manufacturing Businesses
Sport Equipment Manufacturers,Manufacturing Businesses
"Stone, Clay, Glass and Concrete",Manufacturing Businesses
"Textile Products, Excluding Clothing",Manufacturing Businesses
Transportation Related Manufacturing Businesses,Manufacturing Businesses
Wood Products Manufacturing Businesses,Manufacturing Businesses
Mining Businesses,Mining Businesses
Mining Businesses,Mining Businesses
Other Industries,Other Industries
Other Industries,Other Industries
Child Care Centers,Personal Services
Child Care Nurseries,Personal Services
Dance Studios,Personal Services
"Dance, Pilates and Yoga Studios",Personal Services
