Original Category,Mapped Category
Medical Equipment,Wholesale and Distribution Businesses
Medical Practices,Health Care Businesses
"Medical Practices, Clinics, Therapy Centres",Health Care Businesses
Medical Products Distributors,Wholesale and Distribution Businesses
Medical Products Manufacturing Businesses,Manufacturing Businesses
Medical Staffing,Business Services
Medical Supply Businesses,Wholesale and Distribution Businesses
Medical Transportation Businesses,Transportation Businesses
Mens Wear Shops,Retail Businesses
Metal Fabrication,Manufacturing Businesses
Metal Product Manufacturers,Manufacturing Businesses
Metal Products Manufacturers,Manufacturing Businesses
Mexican Restaurants,Restaurants
Middle Eastern Restaurants,Restaurants
Mining Businesses,Mining Businesses
Miscellaneous Restaurant and Bars,Restaurants
Motels,Hotels
Motor Cycle Businesses,Automotive and Boat Businesses
Motorcycle Businesses,Automotive and Boat Businesses
Moving Companies,Transportation Businesses
Moving and Shipping Businesses,Transportation Businesses
Music Stores,Retail Businesses
Nail Salons,Beauty and Personal Care Businesses
New And Used Car Sale Businesses,Automotive and Boat Businesses
Nightclubs,"Arts, Entertainment and Recreation"
Nightclubs and Theaters,"Arts, Entertainment and Recreation"
Nursery and Garden Centers,Home And Garden Businesses
Nursing Services,Health Care Businesses
Office Furniture Businesses,Retail Businesses
Offices And Business Centers,Real Estate
Oil And Petrochemical Related Businesses,Manufacturing Businesses
Oil and Gas Exploration,Manufacturing Businesses
Online and Technology Businesses,E-Commerce
Opticians And Optical Stores,Health Care Businesses
Optometrists,Health Care Businesses
Other Agriculture,Agriculture Businesses
"Other Arts, Entertainment and Recreation Businesses","Arts, Entertainment and Recreation"
Other Business Services,Business Services
Other Construction,Construction Businesses
Other Food Distributors,Food Distributors
Other Food and Grocery Stores,Retail Businesses
Other Health Care,Health Care Businesses
Other Industries,Other Industries
Other Information Businesses,Information Technology Businesses
Other Internet and Online Businesses,E-Commerce
Other Manufacturing,Manufacturing Businesses
Other Metal Fabrication,Manufacturing Businesses
Other Personal Service Businesses,Personal Services
Other Real Estate,Real Estate
Other Restaurants,Restaurants
Other Retailing,Retail Businesses
Other Transportation,Transportation Businesses
Other Trucking,Transportation Businesses
Other Wholesale Trade,Wholesale and Distribution Businesses
Outdoor Adventure Businesses,"Arts, Entertainment and Recreation"
Pack and Ship Services,Transportation Businesses
Packaging Businesses,Manufacturing Businesses
Packaging Distributors,Manufacturing Businesses
Painting Businesses,Construction Businesses
Painting Contractors,Construction Businesses
Paper Manufacturers and Printing Businesses,Manufacturing Businesses
Paper and Packaging,Manufacturing Businesses
Parking Lot Maintenance,Building Services Businesses
Party Rental and Supply Stores,Retail Businesses
Party Stores,Retail Businesses
Paving Contractors,Construction Businesses
Pawn Shops,Finance and Insurance
Personal Services,Personal Services
Pest control,Pest control
Pet Businesses,Pet Service Businesses
Pet Grooming Businesses,Pet Service Businesses
"Pet Grooming and Boarding, Kennels, Catteries",Pet Service Businesses
Pet Service Businesses,Pet Service Businesses
Pet Shops,Retail Businesses
Pet Shops and Supplies,Retail Businesses
Pet Stores and Supply Businesses,Retail Businesses
Pharmacies,Retail Businesses
"Pharmacies, Drug Stores, Chemists",Retail Businesses
Photographic Service Businesses,Personal Services
Photography Studios,Personal Services
Physical Therapy Practices,Health Care Businesses
Pizza,Restaurants
Pizza Restaurants,Restaurants
Plastic Fabrication Businesses,Manufacturing Businesses
Plastics and Rubber,Manufacturing Businesses
Plumbing,Plumbing Contractors
Plumbing Businesses,Plumbing Contractors
Plumbing Contractors,Plumbing Contractors
Pool Service and Maintenance,Swimming Pool Businesses
Postal And Communication Businesses,Transportation Businesses
Powder Coating Businesses,Manufacturing Businesses
Preschools,Personal Services
Printing And Typesetting Businesses,Business Services
Printing and Duplicating Services,Business Services
Professional Service Businesses,Professional Service Businesses
Property Agencies,Real Estate
Property Management,Real Estate
Property Management Businesses,Real Estate
Property Services,Real Estate
Publishing Businesses,Publishing Businesses
Pubs,"Bars, Taverns, Pubs, Lounges"
Quick Lube and Oil Change Services,Auto Repair Businesses
RV and Caravan Dealers,Automotive and Boat Businesses
Real Estate,Real Estate
Real Estate Development Opportunities,Real Estate
Recording Studios,"Arts, Entertainment and Recreation"
Recreation Businesses,"Arts, Entertainment and Recreation"
Recruitment Agencies,Business Services
Recycling Businesses,Waste Management and Recycling Businesses
Removal Businesses,Transportation Businesses
Repair Services,Repair Services
Residential Properties,Real Estate
Resort Properties,Hotels
Resorts,Hotels
Restaurants,Restaurants
Restaurants and Food Businesses,Restaurants
Retail Businesses,Retail Businesses
Retail Resale Franchises,Franchise Resales
Retail Shops To Lease,Retail Businesses
Road Haulage And Freight Businesses,Transportation Businesses
Roofing Businesses,Construction Businesses
Roofing Contractors,Construction Businesses
Roofing Service Businesses,Construction Businesses
Routes,Transportation Businesses
Rubber and Plastic Products Manufacturers,Manufacturing Businesses
RV Parks,Real Estate
SaaS Businesses,Information Technology Businesses
Sales Businesses,Business Services
"Sandwich Shops, Bagel Shops, Sub Shops",Restaurants
Sawmills,Manufacturing Businesses
Schools,Education Businesses
Screen Printing Businesses,Business Services
Scuba Diving Businesses,"Arts, Entertainment and Recreation"
